# real space correlation function weights for gamma_t in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 2.076193109262297555e-04
1.000115137033713353e+00 2.076671155419503045e-04
1.000230287323963241e+00 2.077149315373661895e-04
1.000345450872275777e+00 2.077627578376375136e-04
1.000460627680177739e+00 2.078105965387098996e-04
1.000575817749195906e+00 2.078584449809838376e-04
1.000691021080856835e+00 2.079063052598163644e-04
1.000806237676687527e+00 2.079541760370481873e-04
1.000921467538215426e+00 2.080020580870011024e-04
1.001036710666967755e+00 2.080499513917392614e-04
1.001151967064471959e+00 2.080978548781946518e-04
1.001267236732256150e+00 2.081457703752531664e-04
1.001382519671847771e+00 2.081936968098063517e-04
1.001497815884775155e+00 2.082416333733301430e-04
1.001613125372566415e+00 2.082895818934652539e-04
1.001728448136750105e+00 2.083375412978613324e-04
1.001843784178854779e+00 2.083855110419918235e-04
1.001959133500409216e+00 2.084334924253495756e-04
1.002074496102942414e+00 2.084814849031243252e-04
1.002189871987983594e+00 2.085294881942402641e-04
1.002305261157061755e+00 2.085775022810532216e-04
1.002420663611706564e+00 2.086255281984011032e-04
1.002536079353447684e+00 2.086735643495865253e-04
1.002651508383815004e+00 2.087216125583375866e-04
1.002766950704338633e+00 2.087696714914585806e-04
1.002882406316548458e+00 2.088177413942306248e-04
1.002997875221974811e+00 2.088658219860717920e-04
1.003113357422148688e+00 2.089139135121618270e-04
1.003228852918600422e+00 2.089620164801430247e-04
1.003344361712861232e+00 2.090101303466474630e-04
1.003459883806461672e+00 2.090582558816692907e-04
1.003575419200933405e+00 2.091063914918691420e-04
1.003690967897807873e+00 2.091545389972521824e-04
1.003806529898616517e+00 2.092026978546121714e-04
1.003922105204891002e+00 2.092508667342408469e-04
1.004037693818163435e+00 2.092990474549043483e-04
1.004153295739966145e+00 2.093472394737888619e-04
1.004268910971831019e+00 2.093954419864234231e-04
1.004384539515290831e+00 2.094436554995223311e-04
1.004500181371878131e+00 2.094918805193270921e-04
1.004615836543125695e+00 2.095401165037284611e-04
1.004731505030566741e+00 2.095883634349278229e-04
1.004847186835734263e+00 2.096366215569860254e-04
1.004962881960161702e+00 2.096848908519438018e-04
1.005078590405382499e+00 2.097331715635802972e-04
1.005194312172930537e+00 2.097814628887712072e-04
1.005310047264339479e+00 2.098297658563806189e-04
1.005425795681143875e+00 2.098780794019369962e-04
1.005541557424877386e+00 2.099264045538428000e-04
1.005657332497074785e+00 2.099747402481283985e-04
1.005773120899270401e+00 2.100230877741012924e-04
1.005888922632999449e+00 2.100714460681131805e-04
1.006004737699796259e+00 2.101198151124759276e-04
1.006120566101196712e+00 2.101681959342567455e-04
1.006236407838735580e+00 2.102165874705599045e-04
1.006352262913948303e+00 2.102649904869258407e-04
1.006468131328370985e+00 2.103134041821460621e-04
1.006584013083539064e+00 2.103618295823665881e-04
1.006699908180988645e+00 2.104102658865794769e-04
1.006815816622256055e+00 2.104587130769856797e-04
1.006931738408877619e+00 2.105071719180942309e-04
1.007047673542389887e+00 2.105556413487621494e-04
1.007163622024329408e+00 2.106041223939842755e-04
1.007279583856233174e+00 2.106526145142896891e-04
1.007395559039638400e+00 2.107011179522752672e-04
1.007511547576082078e+00 2.107496324293765659e-04
1.007627549467101868e+00 2.107981574068727975e-04
1.007743564714235429e+00 2.108466946896465672e-04
1.007859593319020197e+00 2.108952419163359821e-04
1.007975635282994498e+00 2.109438016720423920e-04
1.008091690607696211e+00 2.109923718564890572e-04
1.008207759294663886e+00 2.110409532324958521e-04
1.008323841345435845e+00 2.110895455219880402e-04
1.008439936761550637e+00 2.111381500070598982e-04
1.008556045544547475e+00 2.111867645895712422e-04
1.008672167695965127e+00 2.112353908114436107e-04
1.008788303217342808e+00 2.112840283945228493e-04
1.008904452110219951e+00 2.113326770609045765e-04
1.009020614376135994e+00 2.113813367926209333e-04
1.009136790016630814e+00 2.114300078313419661e-04
1.009252979033244291e+00 2.114786896398048409e-04
1.009369181427516526e+00 2.115273832382836736e-04
1.009485397200987622e+00 2.115760875705200578e-04
1.009601626355198345e+00 2.116248036563297627e-04
1.009717868891689019e+00 2.116735304399527083e-04
1.009834124812000411e+00 2.117222694592856306e-04
1.009950394117673733e+00 2.117710181034513576e-04
1.010066676810249975e+00 2.118197789469655496e-04
1.010182972891270570e+00 2.118685514528859169e-04
1.010299282362276951e+00 2.119173343076664537e-04
1.010415605224810776e+00 2.119661290476427802e-04
1.010531941480414142e+00 2.120149338418840903e-04
1.010648291130628706e+00 2.120637512616161682e-04
1.010764654176996791e+00 2.121125792174344369e-04
1.010881030621061161e+00 2.121614187266406719e-04
1.010997420464363916e+00 2.122102695122291601e-04
1.011113823708447823e+00 2.122591310388295964e-04
1.011230240354856091e+00 2.123080038057726738e-04
1.011346670405131931e+00 2.123568885704173572e-04
1.011463113860818108e+00 2.124057840219411024e-04
1.011579570723458499e+00 2.124546909177229593e-04
1.011696040994596535e+00 2.125036087228598870e-04
1.011812524675776093e+00 2.125525379359596053e-04
1.011929021768541270e+00 2.126014787969674120e-04
1.012045532274436166e+00 2.126504307711890021e-04
1.012162056195004878e+00 2.126993940986497689e-04
1.012278593531792392e+00 2.127483685031100963e-04
1.012395144286343029e+00 2.127973539665379134e-04
1.012511708460201998e+00 2.128463512446093406e-04
1.012628286054914062e+00 2.128953592874168756e-04
1.012744877072024652e+00 2.129443791082602597e-04
1.012861481513078976e+00 2.129934099154484801e-04
1.012978099379622909e+00 2.130424516909997727e-04
1.013094730673202104e+00 2.130915054473538355e-04
1.013211375395362435e+00 2.131405698781195838e-04
1.013328033547649998e+00 2.131896457379762414e-04
1.013444705131611112e+00 2.132387332660517262e-04
1.013561390148792540e+00 2.132878316717839507e-04
1.013678088600740601e+00 2.133369419664778058e-04
1.013794800489002057e+00 2.133860631025226440e-04
1.013911525815124337e+00 2.134351950620172304e-04
1.014028264580654426e+00 2.134843396269726001e-04
1.014145016787139753e+00 2.135334947217078715e-04
1.014261782436127746e+00 2.135826608425508771e-04
1.014378561529166278e+00 2.136318389992688919e-04
1.014495354067803001e+00 2.136810276317713990e-04
1.014612160053586232e+00 2.137302282633932692e-04
1.014728979488064287e+00 2.137794398483221670e-04
1.014845812372785483e+00 2.138286631387048369e-04
1.014962658709298582e+00 2.138778976027108940e-04
1.015079518499152123e+00 2.139271432221859421e-04
1.015196391743895088e+00 2.139764002355233792e-04
1.015313278445076905e+00 2.140256688808901946e-04
1.015430178604246780e+00 2.140749488833892044e-04
1.015547092222954362e+00 2.141242397120088402e-04
1.015664019302749077e+00 2.141735418614255590e-04
1.015780959845181020e+00 2.142228558258533512e-04
1.015897913851799839e+00 2.142721813304951589e-04
1.016014881324156294e+00 2.143215178446752456e-04
1.016131862263800700e+00 2.143708650942659666e-04
1.016248856672283152e+00 2.144202251094425038e-04
1.016365864551155074e+00 2.144695950555027930e-04
1.016482885901966782e+00 2.145189772181185946e-04
1.016599920726269923e+00 2.145683708108953047e-04
1.016716969025615480e+00 2.146177753039261841e-04
1.016834030801555100e+00 2.146671914463451963e-04
1.016951106055640430e+00 2.147166187083249115e-04
1.017068194789423119e+00 2.147660575828958592e-04
1.017185297004455258e+00 2.148155077960217391e-04
1.017302412702289161e+00 2.148649693293888045e-04
1.017419541884477141e+00 2.149144421646931747e-04
1.017536684552571513e+00 2.149639267943590664e-04
1.017653840708125479e+00 2.150134221785502395e-04
1.017771010352691574e+00 2.150629295755528126e-04
1.017888193487823001e+00 2.151124479458452351e-04
1.018005390115072961e+00 2.151619782918458973e-04
1.018122600235994879e+00 2.152115195745242569e-04
1.018239823852142623e+00 2.152610720308307201e-04
1.018357060965069616e+00 2.153106364073860694e-04
1.018474311576330171e+00 2.153602121756728897e-04
1.018591575687478157e+00 2.154097990624835362e-04
1.018708853300068329e+00 2.154593978139415225e-04
1.018826144415654777e+00 2.155090071377742714e-04
1.018943449035792259e+00 2.155586285440877611e-04
1.019060767162035752e+00 2.156082615048271511e-04
1.019178098795940457e+00 2.156579054924168180e-04
1.019295443939061352e+00 2.157075607431953529e-04
1.019412802592954082e+00 2.157572280021162253e-04
1.019530174759173846e+00 2.158069064872739703e-04
1.019647560439276957e+00 2.158565961803835182e-04
1.019764959634818835e+00 2.159062973174147228e-04
1.019882372347356014e+00 2.159560103882981628e-04
1.019999798578444583e+00 2.160057341036185677e-04
1.020117238329641074e+00 2.160554699698938839e-04
1.020234691602502020e+00 2.161052169521488647e-04
1.020352158398584619e+00 2.161549750321601314e-04
1.020469638719445626e+00 2.162047457150728950e-04
1.020587132566642241e+00 2.162545272047903286e-04
1.020704639941731884e+00 2.163043199908476022e-04
1.020822160846272197e+00 2.163541238011695747e-04
1.020939695281820825e+00 2.164039401395399158e-04
1.021057243249935853e+00 2.164537669579386417e-04
1.021174804752175147e+00 2.165036057598198791e-04
1.021292379790097016e+00 2.165534560193735196e-04
1.021409968365259990e+00 2.166033179715444392e-04
1.021527570479222824e+00 2.166531910909519278e-04
1.021645186133544048e+00 2.167030758659288568e-04
1.021762815329783081e+00 2.167529720245992529e-04
1.021880458069498676e+00 2.168028798017162780e-04
1.021998114354250253e+00 2.168527986724072521e-04
1.022115784185597676e+00 2.169027291245794701e-04
1.022233467565100362e+00 2.169526711396496253e-04
1.022351164494318176e+00 2.170026249520039588e-04
1.022468874974811426e+00 2.170525897842013978e-04
1.022586599008140196e+00 2.171025663765677389e-04
1.022704336595865016e+00 2.171525544576016276e-04
1.022822087739546415e+00 2.172025545142241957e-04
1.022939852440745145e+00 2.172525652642237474e-04
1.023057630701022180e+00 2.173025879526636070e-04
1.023175422521938938e+00 2.173526223081418958e-04
1.023293227905056391e+00 2.174026680595004363e-04
1.023411046851936401e+00 2.174527249358236417e-04
1.023528879364140387e+00 2.175027939283266242e-04
1.023646725443230210e+00 2.175528737564301983e-04
1.023764585090768175e+00 2.176029659156019052e-04
1.023882458308316146e+00 2.176530693778935919e-04
1.024000345097436870e+00 2.177031843770223295e-04
1.024118245459692877e+00 2.177533106423091853e-04
1.024236159396646695e+00 2.178034484073758479e-04
1.024354086909861516e+00 2.178535981575935819e-04
1.024472028000900314e+00 2.179037588664011729e-04
1.024589982671326727e+00 2.179539312711616724e-04
1.024707950922703725e+00 2.180041156049581914e-04
1.024825932756595392e+00 2.180543113454352152e-04
1.024943928174565588e+00 2.181045184740735947e-04
1.025061937178177951e+00 2.181547374756112308e-04
1.025179959768997229e+00 2.182049675765060316e-04
1.025297995948587282e+00 2.182552092614588183e-04
1.025416045718512859e+00 2.183054630147172155e-04
1.025534109080338929e+00 2.183557275603349149e-04
1.025652186035630242e+00 2.184060046395384371e-04
1.025770276585951990e+00 2.184562927253583134e-04
1.025888380732869365e+00 2.185065928044039381e-04
1.026006498477948004e+00 2.185569038530886597e-04
1.026124629822753320e+00 2.186072268575800059e-04
1.026242774768851174e+00 2.186575610458192090e-04
1.026360933317807866e+00 2.187079074033583222e-04
1.026479105471189257e+00 2.187582654092622711e-04
1.026597291230561870e+00 2.188086345430682324e-04
1.026715490597492231e+00 2.188590152880396191e-04
1.026833703573547085e+00 2.189094078762325861e-04
1.026951930160293402e+00 2.189598120380869346e-04
1.027070170359298151e+00 2.190102272536438056e-04
1.027188424172128745e+00 2.190606547574934829e-04
1.027306691600352595e+00 2.191110935283599936e-04
1.027424972645537338e+00 2.191615442991704573e-04
1.027543267309250608e+00 2.192120060493043014e-04
1.027661575593060705e+00 2.192624800122401499e-04
1.027779897498535711e+00 2.193129654179607336e-04
1.027898233027243702e+00 2.193634624980972002e-04
1.028016582180753646e+00 2.194139709837027109e-04
1.028134944960634067e+00 2.194644911063140880e-04
1.028253321368453932e+00 2.195150233473118647e-04
1.028371711405781985e+00 2.195655669375957356e-04
1.028490115074188083e+00 2.196161216086638731e-04
1.028608532375240969e+00 2.196666888414925073e-04
1.028726963310510945e+00 2.197172668678513551e-04
1.028845407881567420e+00 2.197678569184438081e-04
1.028963866089980472e+00 2.198184589742406818e-04
1.029082337937320180e+00 2.198690720175796491e-04
1.029200823425157063e+00 2.199196967789528471e-04
1.029319322555061422e+00 2.199703334890813983e-04
1.029437835328604223e+00 2.200209821289782393e-04
1.029556361747356208e+00 2.200716419313739568e-04
1.029674901812888566e+00 2.201223133765668066e-04
1.029793455526772261e+00 2.201729966950903984e-04
1.029912022890578926e+00 2.202236918679996815e-04
1.030030603905880193e+00 2.202743988763607727e-04
1.030149198574247915e+00 2.203251169538175637e-04
1.030267806897253946e+00 2.203758465801470255e-04
1.030386428876470362e+00 2.204265882346774866e-04
1.030505064513469682e+00 2.204773416493728381e-04
1.030623713809824205e+00 2.205281065564368241e-04
1.030742376767106894e+00 2.205788836837430436e-04
1.030861053386890491e+00 2.206296720168864382e-04
1.030979743670747961e+00 2.206804717861043594e-04
1.031098447620252712e+00 2.207312837187855781e-04
1.031217165236978150e+00 2.207821075471297183e-04
1.031335896522497686e+00 2.208329430035758500e-04
1.031454641478385392e+00 2.208837893237745875e-04
1.031573400106215121e+00 2.209346482286404659e-04
1.031692172407560726e+00 2.209855187051026459e-04
1.031810958383996946e+00 2.210364002377004607e-04
1.031929758037098299e+00 2.210872940494368647e-04
1.032048571368439083e+00 2.211381993763586668e-04
1.032167398379594481e+00 2.211891169442336202e-04
1.032286239072139455e+00 2.212400457413590945e-04
1.032405093447649413e+00 2.212909864933525726e-04
1.032523961507699317e+00 2.213419389331590403e-04
1.032642843253865239e+00 2.213929027939626312e-04
1.032761738687722808e+00 2.214438783049565832e-04
1.032880647810847874e+00 2.214948661907729477e-04
1.032999570624816732e+00 2.215458654409715393e-04
1.033118507131205677e+00 2.215968762846064384e-04
1.033237457331591003e+00 2.216478991981707576e-04
1.033356421227549671e+00 2.216989334197119299e-04
1.033475398820658420e+00 2.217499796732303233e-04
1.033594390112494210e+00 2.218010381870806538e-04
1.033713395104634447e+00 2.218521079522554819e-04
1.033832413798656535e+00 2.219031891975296791e-04
1.033951446196137880e+00 2.219542826460909495e-04
1.034070492298656552e+00 2.220053875369053709e-04
1.034189552107790400e+00 2.220565043456390261e-04
1.034308625625117273e+00 2.221076330532245396e-04
1.034427712852215908e+00 2.221587733935175999e-04
1.034546813790664377e+00 2.222099251006124743e-04
1.034665928442041860e+00 2.222610891437091975e-04
1.034785056807926873e+00 2.223122647626915973e-04
1.034904198889898597e+00 2.223634524324357526e-04
1.035023354689536212e+00 2.224146516401611447e-04
1.035142524208419124e+00 2.224658628605380981e-04
1.035261707448126955e+00 2.225170855810348100e-04
1.035380904410239555e+00 2.225683202761150916e-04
1.035500115096336771e+00 2.226195664334957203e-04
1.035619339507998671e+00 2.226708247739539481e-04
1.035738577646805769e+00 2.227220947852844252e-04
1.035857829514338579e+00 2.227733766949633926e-04
1.035977095112177393e+00 2.228246702375534657e-04
1.036096374441903611e+00 2.228759758867304307e-04
1.036215667505097970e+00 2.229272931307860715e-04
1.036334974303341649e+00 2.229786217046545328e-04
1.036454294838216272e+00 2.230299628202401434e-04
1.036573629111303463e+00 2.230813157198008356e-04
1.036692977124184845e+00 2.231326803843117614e-04
1.036812338878442263e+00 2.231840563028543564e-04
1.036931714375658009e+00 2.232354444403467618e-04
1.037051103617414594e+00 2.232868442857782287e-04
1.037170506605294085e+00 2.233382563117310442e-04
1.037289923340879660e+00 2.233896792702653599e-04
1.037409353825753833e+00 2.234411155996204835e-04
1.037528798061499780e+00 2.234925630691449335e-04
1.037648256049700679e+00 2.235440221513503608e-04
