# real space correlation function weights for gamma_t in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 6.319899251168525998e-04
1.000115137033713353e+00 6.321353977935073674e-04
1.000230287323963241e+00 6.322809039895626064e-04
1.000345450872275777e+00 6.324264436510204949e-04
1.000460627680177739e+00 6.325720167239118341e-04
1.000575817749195906e+00 6.327176234144919927e-04
1.000691021080856835e+00 6.328632633218292955e-04
1.000806237676687527e+00 6.330089369122524328e-04
1.000921467538215426e+00 6.331546442182864939e-04
1.001036710666967755e+00 6.333003847524974923e-04
1.001151967064471959e+00 6.334461591540898294e-04
1.001267236732256150e+00 6.335919666758760369e-04
1.001382519671847771e+00 6.337378077836187430e-04
1.001497815884775155e+00 6.338836827694882070e-04
1.001613125372566415e+00 6.340295911464023746e-04
1.001728448136750105e+00 6.341755331199611058e-04
1.001843784178854779e+00 6.343215086360196693e-04
1.001959133500409216e+00 6.344675177269564620e-04
1.002074496102942414e+00 6.346135604251001159e-04
1.002189871987983594e+00 6.347596367627289559e-04
1.002305261157061755e+00 6.349057467720736021e-04
1.002420663611706564e+00 6.350518903989022619e-04
1.002536079353447684e+00 6.351980674162285368e-04
1.002651508383815004e+00 6.353442780291182089e-04
1.002766950704338633e+00 6.354905225287806091e-04
1.002882406316548458e+00 6.356368006018096439e-04
1.002997875221974811e+00 6.357831123666315238e-04
1.003113357422148688e+00 6.359294576826644754e-04
1.003228852918600422e+00 6.360758367545293239e-04
1.003344361712861232e+00 6.362222496141320795e-04
1.003459883806461672e+00 6.363686960346308678e-04
1.003575419200933405e+00 6.365151762204389980e-04
1.003690967897807873e+00 6.366616900309881406e-04
1.003806529898616517e+00 6.368082374119934854e-04
1.003922105204891002e+00 6.369548187399704745e-04
1.004037693818163435e+00 6.371014337881288417e-04
1.004153295739966145e+00 6.372480823298671887e-04
1.004268910971831019e+00 6.373947648275303047e-04
1.004384539515290831e+00 6.375414811404936984e-04
1.004500181371878131e+00 6.376882310421882810e-04
1.004615836543125695e+00 6.378350149084792984e-04
1.004731505030566741e+00 6.379818322547134175e-04
1.004847186835734263e+00 6.381286834566189496e-04
1.004962881960161702e+00 6.382755685456548882e-04
1.005078590405382499e+00 6.384224873813213168e-04
1.005194312172930537e+00 6.385694400810346203e-04
1.005310047264339479e+00 6.387164265902519483e-04
1.005425795681143875e+00 6.388634466826674562e-04
1.005541557424877386e+00 6.390105009050543825e-04
1.005657332497074785e+00 6.391575889450935464e-04
1.005773120899270401e+00 6.393047105765712603e-04
1.005888922632999449e+00 6.394518661741829162e-04
