# real space correlation function weights for gamma_t in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 6.819236030184922870e-05
1.000115137033713353e+00 6.820806376606894437e-05
1.000230287323963241e+00 6.822377086896463624e-05
1.000345450872275777e+00 6.823948080019239264e-05
1.000460627680177739e+00 6.825519435878445423e-05
1.000575817749195906e+00 6.827091234303538406e-05
1.000691021080856835e+00 6.828663313866526472e-05
1.000806237676687527e+00 6.830235915168172674e-05
1.000921467538215426e+00 6.831808635726994625e-05
1.001036710666967755e+00 6.833381876822487526e-05
1.001151967064471959e+00 6.834955396799981470e-05
1.001267236732256150e+00 6.836529355737423720e-05
1.001382519671847771e+00 6.838103592430845807e-05
1.001497815884775155e+00 6.839678347149971336e-05
1.001613125372566415e+00 6.841253378463377113e-05
1.001728448136750105e+00 6.842828525389867047e-05
1.001843784178854779e+00 6.844404348983323255e-05
1.001959133500409216e+00 6.845980447486383009e-05
1.002074496102942414e+00 6.847556980720540453e-05
1.002189871987983594e+00 6.849133787742798650e-05
1.002305261157061755e+00 6.850711028301445060e-05
1.002420663611706564e+00 6.852288461410593109e-05
1.002536079353447684e+00 6.853866487097485844e-05
1.002651508383815004e+00 6.855444784296421841e-05
1.002766950704338633e+00 6.857023352485292704e-05
1.002882406316548458e+00 6.858602351229533840e-05
1.002997875221974811e+00 6.860181779897064870e-05
1.003113357422148688e+00 6.861761557849382920e-05
1.003228852918600422e+00 6.863341684510368705e-05
1.003344361712861232e+00 6.864922159304221426e-05
1.003459883806461672e+00 6.866502901703955177e-05
1.003575419200933405e+00 6.868084150988957551e-05
1.003690967897807873e+00 6.869665746644559228e-05
1.003806529898616517e+00 6.871247448407345304e-05
1.003922105204891002e+00 6.872829894891993683e-05
1.004037693818163435e+00 6.874412446372576155e-05
1.004153295739966145e+00 6.875995421805611632e-05
1.004268910971831019e+00 6.877578820562742614e-05
1.004384539515290831e+00 6.879162642015940925e-05
1.004500181371878131e+00 6.880746646179535799e-05
1.004615836543125695e+00 6.882331151662053842e-05
1.004731505030566741e+00 6.883915998282846740e-05
1.004847186835734263e+00 6.885501265201257961e-05
1.004962881960161702e+00 6.887086792365858473e-05
1.005078590405382499e+00 6.888672658954991031e-05
1.005194312172930537e+00 6.890259103425582367e-05
1.005310047264339479e+00 6.891845647097231498e-05
1.005425795681143875e+00 6.893432767400038816e-05
1.005541557424877386e+00 6.895019985874376717e-05
1.005657332497074785e+00 6.896607938935909023e-05
1.005773120899270401e+00 6.898195989067369650e-05
1.005888922632999449e+00 6.899784533694264732e-05
1.006004737699796259e+00 6.901373333495765760e-05
1.006120566101196712e+00 6.902962467488022911e-05
1.006236407838735580e+00 6.904552173636060389e-05
1.006352262913948303e+00 6.906142053744776901e-05
1.006468131328370985e+00 6.907732345779843105e-05
1.006584013083539064e+00 6.909323049119654725e-05
1.006699908180988645e+00 6.910914163142942233e-05
1.006815816622256055e+00 6.912505528389958247e-05
1.006931738408877619e+00 6.914097382553210046e-05
1.007047673542389887e+00 6.915689486809063909e-05
1.007163622024329408e+00 6.917281999376412738e-05
1.007279583856233174e+00 6.918874840289373715e-05
1.007395559039638400e+00 6.920468088311537540e-05
1.007511547576082078e+00 6.922061663514232567e-05
1.007627549467101868e+00 6.923655723916680963e-05
1.007743564714235429e+00 6.925250110299376928e-05
1.007859593319020197e+00 6.926844822099192630e-05
1.007975635282994498e+00 6.928439937990075580e-05
1.008091690607696211e+00 6.930035298917780852e-05
1.008207759294663886e+00 6.931631141975677472e-05
1.008323841345435845e+00 6.933227308128427644e-05
1.008439936761550637e+00 6.934823875978323956e-05
1.008556045544547475e+00 6.936420686618329032e-05
1.008672167695965127e+00 6.938018135179030465e-05
1.008788303217342808e+00 6.939615667117266917e-05
1.008904452110219951e+00 6.941213835673252987e-05
1.009020614376135994e+00 6.942812086559540488e-05
1.009136790016630814e+00 6.944410893707482295e-05
1.009252979033244291e+00 6.946010019285074968e-05
1.009369181427516526e+00 6.947609541751509962e-05
1.009485397200987622e+00 6.949209539493526920e-05
1.009601626355198345e+00 6.950809695916781246e-05
1.009717868891689019e+00 6.952410326426647553e-05
1.009834124812000411e+00 6.954011114574926275e-05
1.009950394117673733e+00 6.955612691330898684e-05
