# real space correlation function weights for Xi_+ in Real space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# theta[arcmin]      R(theta)
2.013574711381084903e+00 0.000000000000000000e+00
2.013675607802965395e+00 0.000000000000000000e+00
2.013776509280574611e+00 0.000000000000000000e+00
2.013877415814166572e+00 0.000000000000000000e+00
2.013978327403993518e+00 0.000000000000000000e+00
2.014079244050309914e+00 0.000000000000000000e+00
2.014180165753368446e+00 0.000000000000000000e+00
2.014281092513422688e+00 0.000000000000000000e+00
2.014382024330726217e+00 0.000000000000000000e+00
2.014482961205532163e+00 0.000000000000000000e+00
2.014583903138094101e+00 0.000000000000000000e+00
2.014684850128665605e+00 0.000000000000000000e+00
2.014785802177499807e+00 0.000000000000000000e+00
2.014886759284850282e+00 0.000000000000000000e+00
2.014987721450970604e+00 0.000000000000000000e+00
2.015088688676114348e+00 0.000000000000000000e+00
2.015189660960534646e+00 0.000000000000000000e+00
2.015290638304485071e+00 0.000000000000000000e+00
2.015391620708219644e+00 0.000000000000000000e+00
2.015492608171991495e+00 0.000000000000000000e+00
2.015593600696053755e+00 0.000000000000000000e+00
2.015694598280660887e+00 0.000000000000000000e+00
2.015795600926066022e+00 0.000000000000000000e+00
2.015896608632522735e+00 0.000000000000000000e+00
2.015997621400284601e+00 0.000000000000000000e+00
2.016098639229605194e+00 0.000000000000000000e+00
2.016199662120738534e+00 0.000000000000000000e+00
2.016300690073937751e+00 0.000000000000000000e+00
2.016401723089456421e+00 0.000000000000000000e+00
2.016502761167549007e+00 0.000000000000000000e+00
2.016603804308468639e+00 0.000000000000000000e+00
2.016704852512468449e+00 0.000000000000000000e+00
2.016805905779803343e+00 0.000000000000000000e+00
2.016906964110726008e+00 0.000000000000000000e+00
2.017008027505490908e+00 0.000000000000000000e+00
2.017109095964351173e+00 0.000000000000000000e+00
2.017210169487560822e+00 0.000000000000000000e+00
2.017311248075373431e+00 0.000000000000000000e+00
2.017412331728043462e+00 0.000000000000000000e+00
2.017513420445824046e+00 0.000000000000000000e+00
2.017614514228968758e+00 0.000000000000000000e+00
2.017715613077732506e+00 0.000000000000000000e+00
2.017816716992367976e+00 0.000000000000000000e+00
2.017917825973129631e+00 0.000000000000000000e+00
2.018018940020271046e+00 0.000000000000000000e+00
2.018120059134046240e+00 0.000000000000000000e+00
2.018221183314708789e+00 0.000000000000000000e+00
2.018322312562513154e+00 0.000000000000000000e+00
2.018423446877712912e+00 0.000000000000000000e+00
2.018524586260562081e+00 0.000000000000000000e+00
2.018625730711314237e+00 0.000000000000000000e+00
2.018726880230223841e+00 0.000000000000000000e+00
2.018828034817544470e+00 0.000000000000000000e+00
2.018929194473530142e+00 0.000000000000000000e+00
2.019030359198435320e+00 0.000000000000000000e+00
2.019131528992513136e+00 0.000000000000000000e+00
2.019232703856018052e+00 0.000000000000000000e+00
2.019333883789204531e+00 0.000000000000000000e+00
2.019435068792325705e+00 0.000000000000000000e+00
2.019536258865636480e+00 0.000000000000000000e+00
2.019637454009390432e+00 0.000000000000000000e+00
2.019738654223841579e+00 0.000000000000000000e+00
2.019839859509243940e+00 0.000000000000000000e+00
2.019941069865851979e+00 0.000000000000000000e+00
2.020042285293919715e+00 0.000000000000000000e+00
2.020143505793701166e+00 0.000000000000000000e+00
2.020244731365450797e+00 0.000000000000000000e+00
2.020345962009422180e+00 0.000000000000000000e+00
2.020447197725869781e+00 0.000000000000000000e+00
2.020548438515047618e+00 0.000000000000000000e+00
2.020649684377210153e+00 0.000000000000000000e+00
2.020750935312610963e+00 0.000000000000000000e+00
2.020852191321505398e+00 0.000000000000000000e+00
2.020953452404146589e+00 0.000000000000000000e+00
2.021054718560788999e+00 0.000000000000000000e+00
2.021155989791687535e+00 0.000000000000000000e+00
2.021257266097095773e+00 0.000000000000000000e+00
2.021358547477268175e+00 0.000000000000000000e+00
2.021459833932459205e+00 0.000000000000000000e+00
2.021561125462922881e+00 0.000000000000000000e+00
2.021662422068913667e+00 0.000000000000000000e+00
2.021763723750686026e+00 0.000000000000000000e+00
2.021865030508493977e+00 0.000000000000000000e+00
2.021966342342591982e+00 0.000000000000000000e+00
2.022067659253234506e+00 0.000000000000000000e+00
2.022168981240675567e+00 0.000000000000000000e+00
2.022270308305170072e+00 0.000000000000000000e+00
2.022371640446972485e+00 0.000000000000000000e+00
2.022472977666336824e+00 0.000000000000000000e+00
2.022574319963517553e+00 0.000000000000000000e+00
2.022675667338769134e+00 0.000000000000000000e+00
2.022777019792346032e+00 0.000000000000000000e+00
2.022878377324503152e+00 0.000000000000000000e+00
2.022979739935494070e+00 0.000000000000000000e+00
2.023081107625574138e+00 0.000000000000000000e+00
2.023182480394997373e+00 0.000000000000000000e+00
2.023283858244018241e+00 0.000000000000000000e+00
2.023385241172891646e+00 0.000000000000000000e+00
2.023486629181872054e+00 0.000000000000000000e+00
2.023588022271213926e+00 0.000000000000000000e+00
2.023689420441171727e+00 0.000000000000000000e+00
2.023790823691999918e+00 0.000000000000000000e+00
2.023892232023953408e+00 0.000000000000000000e+00
2.023993645437286659e+00 0.000000000000000000e+00
2.024095063932254579e+00 0.000000000000000000e+00
2.024196487509111186e+00 0.000000000000000000e+00
2.024297916168111833e+00 0.000000000000000000e+00
2.024399349909510537e+00 0.000000000000000000e+00
2.024500788733562207e+00 0.000000000000000000e+00
2.024602232640521748e+00 0.000000000000000000e+00
2.024703681630643626e+00 0.000000000000000000e+00
2.024805135704182746e+00 0.000000000000000000e+00
2.024906594861393572e+00 0.000000000000000000e+00
2.025008059102530567e+00 0.000000000000000000e+00
2.025109528427849526e+00 0.000000000000000000e+00
2.025211002837604024e+00 0.000000000000000000e+00
2.025312482332049413e+00 0.000000000000000000e+00
2.025413966911440600e+00 0.000000000000000000e+00
2.025515456576032047e+00 0.000000000000000000e+00
2.025616951326078663e+00 0.000000000000000000e+00
2.025718451161835798e+00 0.000000000000000000e+00
2.025819956083557027e+00 0.000000000000000000e+00
2.025921466091498591e+00 0.000000000000000000e+00
2.026022981185914507e+00 0.000000000000000000e+00
2.026124501367059683e+00 0.000000000000000000e+00
2.026226026635189470e+00 0.000000000000000000e+00
2.026327556990558776e+00 0.000000000000000000e+00
2.026429092433421619e+00 0.000000000000000000e+00
2.026530632964033796e+00 0.000000000000000000e+00
2.026632178582650212e+00 0.000000000000000000e+00
2.026733729289525332e+00 0.000000000000000000e+00
2.026835285084914506e+00 0.000000000000000000e+00
2.026936845969072198e+00 0.000000000000000000e+00
2.027038411942254204e+00 0.000000000000000000e+00
2.027139983004714985e+00 0.000000000000000000e+00
2.027241559156709894e+00 0.000000000000000000e+00
2.027343140398493393e+00 0.000000000000000000e+00
2.027444726730320834e+00 0.000000000000000000e+00
2.027546318152447569e+00 0.000000000000000000e+00
2.027647914665128503e+00 0.000000000000000000e+00
2.027749516268618546e+00 0.000000000000000000e+00
2.027851122963172603e+00 0.000000000000000000e+00
2.027952734749046027e+00 0.000000000000000000e+00
2.028054351626494167e+00 0.000000000000000000e+00
2.028155973595771933e+00 0.000000000000000000e+00
2.028257600657134230e+00 0.000000000000000000e+00
2.028359232810836410e+00 0.000000000000000000e+00
2.028460870057133825e+00 0.000000000000000000e+00
2.028562512396281381e+00 0.000000000000000000e+00
2.028664159828534430e+00 0.000000000000000000e+00
2.028765812354148323e+00 0.000000000000000000e+00
2.028867469973377524e+00 0.000000000000000000e+00
2.028969132686478272e+00 0.000000000000000000e+00
2.029070800493705473e+00 0.000000000000000000e+00
2.029172473395314036e+00 0.000000000000000000e+00
2.029274151391559311e+00 0.000000000000000000e+00
2.029375834482697094e+00 0.000000000000000000e+00
2.029477522668982292e+00 0.000000000000000000e+00
2.029579215950670257e+00 0.000000000000000000e+00
2.029680914328015895e+00 0.000000000000000000e+00
2.029782617801275446e+00 0.000000000000000000e+00
2.029884326370703818e+00 0.000000000000000000e+00
2.029986040036555917e+00 0.000000000000000000e+00
2.030087758799087538e+00 0.000000000000000000e+00
2.030189482658554034e+00 0.000000000000000000e+00
2.030291211615211200e+00 0.000000000000000000e+00
2.030392945669313942e+00 0.000000000000000000e+00
2.030494684821117612e+00 0.000000000000000000e+00
2.030596429070877562e+00 0.000000000000000000e+00
2.030698178418850031e+00 0.000000000000000000e+00
2.030799932865289481e+00 0.000000000000000000e+00
2.030901692410452153e+00 0.000000000000000000e+00
2.031003457054593397e+00 0.000000000000000000e+00
2.031105226797968122e+00 0.000000000000000000e+00
2.031207001640832566e+00 0.000000000000000000e+00
2.031308781583442080e+00 0.000000000000000000e+00
2.031410566626052017e+00 0.000000000000000000e+00
2.031512356768917726e+00 0.000000000000000000e+00
2.031614152012295449e+00 0.000000000000000000e+00
2.031715952356440091e+00 0.000000000000000000e+00
2.031817757801607449e+00 0.000000000000000000e+00
2.031919568348053318e+00 0.000000000000000000e+00
2.032021383996033492e+00 0.000000000000000000e+00
2.032123204745802880e+00 0.000000000000000000e+00
2.032225030597617721e+00 0.000000000000000000e+00
2.032326861551733366e+00 0.000000000000000000e+00
2.032428697608405610e+00 0.000000000000000000e+00
2.032530538767889805e+00 0.000000000000000000e+00
2.032632385030442634e+00 0.000000000000000000e+00
2.032734236396318561e+00 0.000000000000000000e+00
2.032836092865774269e+00 0.000000000000000000e+00
2.032937954439064665e+00 0.000000000000000000e+00
2.033039821116446433e+00 0.000000000000000000e+00
2.033141692898174480e+00 0.000000000000000000e+00
2.033243569784505045e+00 0.000000000000000000e+00
2.033345451775693480e+00 0.000000000000000000e+00
2.033447338871996024e+00 0.000000000000000000e+00
2.033549231073668473e+00 0.000000000000000000e+00
2.033651128380966622e+00 0.000000000000000000e+00
2.033753030794145822e+00 0.000000000000000000e+00
