# real space correlation function weights for Xi_+ in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 9.987358755729836002e-01
1.000115137033713353e+00 9.987355845610498273e-01
1.000230287323963241e+00 9.987352934821450701e-01
1.000345450872275777e+00 9.987350023362555618e-01
1.000460627680177739e+00 9.987347111233636499e-01
1.000575817749195906e+00 9.987344198434556786e-01
1.000691021080856835e+00 9.987341284965159938e-01
1.000806237676687527e+00 9.987338370825289413e-01
1.000921467538215426e+00 9.987335456014787560e-01
1.001036710666967755e+00 9.987332540533502279e-01
1.001151967064471959e+00 9.987329624381284798e-01
1.001267236732256150e+00 9.987326707557974137e-01
1.001382519671847771e+00 9.987323790063417084e-01
1.001497815884775155e+00 9.987320871897461538e-01
1.001613125372566415e+00 9.987317953059950959e-01
1.001728448136750105e+00 9.987315033550731025e-01
1.001843784178854779e+00 9.987312113369648525e-01
1.001959133500409216e+00 9.987309192516552470e-01
1.002074496102942414e+00 9.987306270991286317e-01
1.002189871987983594e+00 9.987303348793684643e-01
1.002305261157061755e+00 9.987300425923606451e-01
1.002420663611706564e+00 9.987297502380892977e-01
1.002536079353447684e+00 9.987294578165385461e-01
1.002651508383815004e+00 9.987291653276940684e-01
1.002766950704338633e+00 9.987288727715387671e-01
1.002882406316548458e+00 9.987285801480582093e-01
1.002997875221974811e+00 9.987282874572369629e-01
1.003113357422148688e+00 9.987279946990588186e-01
1.003228852918600422e+00 9.987277018735094547e-01
1.003344361712861232e+00 9.987274089805724397e-01
1.003459883806461672e+00 9.987271160202324527e-01
1.003575419200933405e+00 9.987268229924737284e-01
1.003690967897807873e+00 9.987265298972809457e-01
1.003806529898616517e+00 9.987262367346390057e-01
1.003922105204891002e+00 9.987259435045324762e-01
1.004037693818163435e+00 9.987256502069453701e-01
1.004153295739966145e+00 9.987253568418613670e-01
1.004268910971831019e+00 9.987250634092667001e-01
1.004384539515290831e+00 9.987247699091452713e-01
1.004500181371878131e+00 9.987244763414805382e-01
1.004615836543125695e+00 9.987241827062581789e-01
1.004731505030566741e+00 9.987238890034615402e-01
1.004847186835734263e+00 9.987235952330765221e-01
1.004962881960161702e+00 9.987233013950870264e-01
1.005078590405382499e+00 9.987230074894766219e-01
1.005194312172930537e+00 9.987227135162307645e-01
