# real space correlation function weights for gamma_t in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 2.415652126452173495e-06
1.000115137033713353e+00 2.416209358173125179e-06
1.000230287323963241e+00 2.416743488087170146e-06
1.000345450872275777e+00 2.417277243973131439e-06
1.000460627680177739e+00 2.417833332686287014e-06
1.000575817749195906e+00 2.418389037203414478e-06
1.000691021080856835e+00 2.418944357671946270e-06
1.000806237676687527e+00 2.419521985270651912e-06
1.000921467538215426e+00 2.420076532859849742e-06
1.001036710666967755e+00 2.420653377427747120e-06
1.001151967064471959e+00 2.421184477369354772e-06
1.001267236732256150e+00 2.421783214867265318e-06
1.001382519671847771e+00 2.422290888635053700e-06
1.001497815884775155e+00 2.422843519669316450e-06
1.001613125372566415e+00 2.423441076807651301e-06
1.001728448136750105e+00 2.423992931817963498e-06
1.001843784178854779e+00 2.424521760198628366e-06
1.001959133500409216e+00 2.425095494265681880e-06
1.002074496102942414e+00 2.425668835627560408e-06
1.002189871987983594e+00 2.426219156015015550e-06
1.002305261157061755e+00 2.426746471207936535e-06
1.002420663611706564e+00 2.427318650982505841e-06
1.002536079353447684e+00 2.427867825855932451e-06
1.002651508383815004e+00 2.428439226772165932e-06
1.002766950704338633e+00 2.429010235880197592e-06
1.002882406316548458e+00 2.429558256151539043e-06
1.002997875221974811e+00 2.430128487296148481e-06
1.003113357422148688e+00 2.430675740307070576e-06
1.003228852918600422e+00 2.431245194083582616e-06
1.003344361712861232e+00 2.431791680424429203e-06
1.003459883806461672e+00 2.432360357427793436e-06
1.003575419200933405e+00 2.432906077688533974e-06
1.003690967897807873e+00 2.433496539298551921e-06
1.003806529898616517e+00 2.434041488874501009e-06
1.003922105204891002e+00 2.434631159319704545e-06
1.004037693818163435e+00 2.435175338804851661e-06
1.004153295739966145e+00 2.435719138657901924e-06
1.004268910971831019e+00 2.436262559024820710e-06
1.004384539515290831e+00 2.436828129689094740e-06
1.004500181371878131e+00 2.437415835235310944e-06
1.004615836543125695e+00 2.437958102461432684e-06
1.004731505030566741e+00 2.438545018948124703e-06
1.004847186835734263e+00 2.439109027050961630e-06
