# real space correlation function weights for gamma_t in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 7.355341910663684512e-06
1.000115137033713353e+00 7.357043849721711206e-06
1.000230287323963241e+00 7.358737154519596528e-06
1.000345450872275777e+00 7.360436748584997138e-06
1.000460627680177739e+00 7.362127712725091477e-06
1.000575817749195906e+00 7.363824963596420187e-06
1.000691021080856835e+00 7.365521042686554008e-06
1.000806237676687527e+00 7.367215950445095487e-06
1.000921467538215426e+00 7.368909687321503177e-06
1.001036710666967755e+00 7.370602253765078927e-06
1.001151967064471959e+00 7.372301097174313215e-06
1.001267236732256150e+00 7.373998767619819233e-06
1.001382519671847771e+00 7.375710152592915377e-06
1.001497815884775155e+00 7.377398033226630273e-06
1.001613125372566415e+00 7.379099625860902282e-06
1.001728448136750105e+00 7.380792605524741872e-06
1.001843784178854779e+00 7.382506724478425680e-06
1.001959133500409216e+00 7.384197358026902096e-06
1.002074496102942414e+00 7.385894255005029576e-06
1.002189871987983594e+00 7.387597410727685931e-06
1.002305261157061755e+00 7.389299390690331253e-06
1.002420663611706564e+00 7.391007623455133103e-06
1.002536079353447684e+00 7.392707251540780253e-06
1.002651508383815004e+00 7.394398280528717535e-06
1.002766950704338633e+00 7.396110407924288665e-06
1.002882406316548458e+00 7.397813933705326202e-06
1.002997875221974811e+00 7.399516283014419820e-06
1.003113357422148688e+00 7.401224874158704105e-06
1.003228852918600422e+00 7.402917454022345458e-06
1.003344361712861232e+00 7.404623691064005915e-06
1.003459883806461672e+00 7.406336162757802499e-06
1.003575419200933405e+00 7.408047453409071310e-06
1.003690967897807873e+00 7.409742744830045295e-06
1.003806529898616517e+00 7.411451678167050509e-06
1.003922105204891002e+00 7.413152025910439668e-06
1.004037693818163435e+00 7.414866006239970866e-06
1.004153295739966145e+00 7.416578804380220430e-06
1.004268910971831019e+00 7.418275619194824726e-06
1.004384539515290831e+00 7.420000855906791473e-06
1.004500181371878131e+00 7.421695315424679103e-06
1.004615836543125695e+00 7.423403392747712792e-06
1.004731505030566741e+00 7.425117684128386109e-06
1.004847186835734263e+00 7.426823400353875919e-06
1.004962881960161702e+00 7.428535328138499567e-06
1.005078590405382499e+00 7.430253462830053104e-06
1.005194312172930537e+00 7.431955638254770958e-06
1.005310047264339479e+00 7.433671406967106125e-06
1.005425795681143875e+00 7.435378607896512379e-06
1.005541557424877386e+00 7.437092010744082807e-06
1.005657332497074785e+00 7.438804230490105258e-06
1.005773120899270401e+00 7.440522646263139620e-06
1.005888922632999449e+00 7.442239876444746397e-06
1.006004737699796259e+00 7.443948546212433873e-06
1.006120566101196712e+00 7.445663408273605999e-06
1.006236407838735580e+00 7.447377086107036316e-06
1.006352262913948303e+00 7.449096950351515834e-06
1.006468131328370985e+00 7.450800890908125556e-06
1.006584013083539064e+00 7.452518385575184814e-06
1.006699908180988645e+00 7.454242059533991515e-06
1.006815816622256055e+00 7.455957181353932565e-06
1.006931738408877619e+00 7.457671118280886529e-06
1.007047673542389887e+00 7.459383870769539000e-06
1.007163622024329408e+00 7.461110155903451388e-06
1.007279583856233174e+00 7.462835250731461770e-06
1.007395559039638400e+00 7.464544445856925903e-06
1.007511547576082078e+00 7.466267164829481461e-06
1.007627549467101868e+00 7.467981343324391690e-06
1.007743564714235429e+00 7.469701686570981740e-06
1.007859593319020197e+00 7.471420841791991743e-06
1.007975635282994498e+00 7.473146155907012516e-06
1.008091690607696211e+00 7.474862934752877408e-06
1.008207759294663886e+00 7.476585870021990149e-06
1.008323841345435845e+00 7.478314957097872945e-06
1.008439936761550637e+00 7.480035511965377133e-06
1.008556045544547475e+00 7.481747540151501114e-06
1.008672167695965127e+00 7.483473056144161722e-06
1.008788303217342808e+00 7.485204715631688567e-06
1.008904452110219951e+00 7.486920515174937117e-06
1.009020614376135994e+00 7.488649790382023881e-06
1.009136790016630814e+00 7.490370542879539926e-06
1.009252979033244291e+00 7.492097433947093928e-06
1.009369181427516526e+00 7.493823132787194084e-06
1.009485397200987622e+00 7.495540315351517278e-06
1.009601626355198345e+00 7.497270955614686704e-06
1.009717868891689019e+00 7.498993080516518150e-06
1.009834124812000411e+00 7.500721334467687252e-06
1.009950394117673733e+00 7.502448395106775972e-06
1.010066676810249975e+00 7.504188895047461936e-06
1.010182972891270570e+00 7.505913567067037766e-06
1.010299282362276951e+00 7.507637047148493499e-06
1.010415605224810776e+00 7.509373957800900061e-06
1.010531941480414142e+00 7.511087742669154938e-06
1.010648291130628706e+00 7.512829570976494095e-06
1.010764654176996791e+00 7.514555587125596302e-06
1.010881030621061161e+00 7.516287714554768933e-06
1.010997420464363916e+00 7.518018646063315648e-06
1.011113823708447823e+00 7.519748382110108923e-06
1.011230240354856091e+00 7.521476923153861991e-06
1.011346670405131931e+00 7.523211567223823750e-06
1.011463113860818108e+00 7.524945013847444885e-06
1.011579570723458499e+00 7.526677263484156066e-06
1.011696040994596535e+00 7.528415609124634940e-06
1.011812524675776093e+00 7.530152755338654951e-06
1.011929021768541270e+00 7.531874124238776460e-06
1.012045532274436166e+00 7.533616163832191701e-06
1.012162056195004878e+00 7.535349716204980295e-06
1.012278593531792392e+00 7.537082070990639530e-06
1.012395144286343029e+00 7.538820511111971090e-06
1.012511708460201998e+00 7.540550470425228716e-06
1.012628286054914062e+00 7.542293791750543833e-06
1.012744877072024652e+00 7.544028633188478489e-06
1.012861481513078976e+00 7.545762275985732349e-06
1.012978099379622909e+00 7.547501994686010694e-06
1.013094730673202104e+00 7.549233239906932205e-06
1.013211375395362435e+00 7.550977829336304414e-06
1.013328033547649998e+00 7.552721215268502777e-06
1.013444705131611112e+00 7.554463398165227165e-06
1.013561390148792540e+00 7.556204378488011433e-06
1.013678088600740601e+00 7.557944156698274236e-06
1.013794800489002057e+00 7.559682733257252967e-06
1.013911525815124337e+00 7.561412847929464342e-06
1.014028264580654426e+00 7.563149024240688241e-06
1.014145016787139753e+00 7.564898514990380244e-06
1.014261782436127746e+00 7.566646799248348940e-06
1.014378561529166278e+00 7.568393877477409744e-06
1.014495354067803001e+00 7.570125245455992294e-06
1.014612160053586232e+00 7.571877167026941740e-06
1.014728979488064287e+00 7.573613382611001552e-06
1.014845812372785483e+00 7.575362892021590865e-06
1.014962658709298582e+00 7.577096703046224551e-06
1.015079518499152123e+00 7.578851046143538265e-06
1.015196391743895088e+00 7.580596937445990910e-06
1.015313278445076905e+00 7.582334382419796108e-06
1.015430178604246780e+00 7.584085103513656670e-06
1.015547092222954362e+00 7.585841853860585007e-06
1.015664019302749077e+00 7.587582921939144584e-06
1.015780959845181020e+00 7.589322786201459780e-06
1.015897913851799839e+00 7.591075911770797031e-06
1.016014881324156294e+00 7.592820597121783465e-06
1.016131862263800700e+00 7.594571305714174645e-06
1.016248856672283152e+00 7.596320805681244451e-06
1.016365864551155074e+00 7.598061871814322661e-06
1.016482885901966782e+00 7.599823405602977078e-06
1.016599920726269923e+00 7.601569280812643134e-06
1.016716969025615480e+00 7.603321169934155935e-06
1.016834030801555100e+00 7.605071849422990561e-06
1.016951106055640430e+00 7.606821319743286338e-06
1.017068194789423119e+00 7.608576797055582186e-06
1.017185297004455258e+00 7.610316634734053782e-06
1.017302412702289161e+00 7.612076905080706050e-06
1.017419541884477141e+00 7.613835961471716205e-06
1.017536684552571513e+00 7.615593804372766870e-06
1.017653840708125479e+00 7.617343226855510686e-06
1.017771010352691574e+00 7.619091440097984669e-06
1.017888193487823001e+00 7.620845648639744868e-06
1.018005390115072961e+00 7.622591443135153490e-06
1.018122600235994879e+00 7.624350431299683306e-06
1.018239823852142623e+00 7.626108205448313086e-06
1.018357060965069616e+00 7.627864766046826248e-06
1.018474311576330171e+00 7.629620113560835109e-06
1.018591575687478157e+00 7.631381442585276603e-06
1.018708853300068329e+00 7.633134363670236052e-06
1.018826144415654777e+00 7.634893263884220415e-06
1.018943449035792259e+00 7.636665327887123215e-06
1.019060767162035752e+00 7.638421796188226258e-06
1.019178098795940457e+00 7.640177050887725786e-06
1.019295443939061352e+00 7.641938276648488408e-06
1.019412802592954082e+00 7.643691103887730121e-06
1.019530174759173846e+00 7.645464261590768804e-06
1.019647560439276957e+00 7.647214659926378067e-06
1.019764959634818835e+00 7.648971024572244319e-06
1.019882372347356014e+00 7.650740526966469800e-06
1.019999798578444583e+00 7.652501634826431199e-06
1.020117238329641074e+00 7.654261526202317328e-06
1.020234691602502020e+00 7.656027372536352091e-06
1.020352158398584619e+00 7.657784830693337128e-06
1.020469638719445626e+00 7.659548241440368273e-06
1.020587132566642241e+00 7.661310434269519290e-06
1.020704639941731884e+00 7.663071409648123669e-06
1.020822160846272197e+00 7.664838330767572569e-06
1.020939695281820825e+00 7.666611193147583473e-06
1.021057243249935853e+00 7.668375673457269342e-06
1.021174804752175147e+00 7.670138934888707434e-06
1.021292379790097016e+00 7.671908134039674435e-06
1.021409968365259990e+00 7.673668957470046375e-06
1.021527570479222824e+00 7.675435716260528478e-06
1.021645186133544048e+00 7.677201254749476403e-06
1.021762815329783081e+00 7.678972722947132362e-06
1.021880458069498676e+00 7.680742968487484415e-06
1.021998114354250253e+00 7.682519138089848488e-06
1.022115784185597676e+00 7.684272648867560099e-06
1.022233467565100362e+00 7.686046373854848684e-06
1.022351164494318176e+00 7.687818874770813502e-06
1.022468874974811426e+00 7.689590152085073335e-06
1.022586599008140196e+00 7.691367344294554732e-06
1.022704336595865016e+00 7.693129037786217955e-06
1.022822087739546415e+00 7.694910916593590534e-06
1.022939852440745145e+00 7.696670167810592983e-06
1.023057630701022180e+00 7.698449595425226923e-06
1.023175422521938938e+00 7.700220665871332083e-06
1.023293227905056391e+00 7.701997640889575206e-06
1.023411046851936401e+00 7.703773389494575517e-06
1.023528879364140387e+00 7.705547912156873372e-06
1.023646725443230210e+00 7.707314086096543490e-06
